
pdr_avg_str
tx|rx->,80,90,100,
100,0.591247672253,0.920856610801,1.0,

pdr_var_str
tx|rx->,80,90,100,
100,0.142601040738,0.0139354092617,0.0,

send_avg_str
tx|rx->,80,90,100,
100,358.0,358.0,358.0,

send_var_str
tx|rx->,80,90,100,
100,0.0,0.0,0.0,

receive_avg_str
tx|rx->,80,90,100,
100,211.666666667,329.666666667,358.0,

receive_var_str
tx|rx->,80,90,100,
100,51.0511725842,4.9888765157,0.0,

replication_avg_str
tx|rx->,80,90,100,
100,811.666666667,1409.0,1810.33333333,

replication_var_str
tx|rx->,80,90,100,
100,310.635191539,26.5455583228,28.7556757683,

elimination_avg_str
tx|rx->,80,90,100,
100,355.666666667,986.333333333,1683.66666667,

elimination_var_str
tx|rx->,80,90,100,
100,181.523797032,18.5711843696,178.666044775,

nrg_net_total_avg_str
tx|rx->,80,90,100,
100,0.0,0.0,0.0,

nrg_net_total_var_str
tx|rx->,80,90,100,
100,0.0,0.0,0.0,

nrg_net_avg_avg_str
tx|rx->,80,90,100,
100,0.0,0.0,0.0,

nrg_net_avg_var_str
tx|rx->,80,90,100,
100,0.0,0.0,0.0,
